Gss year for this respondent                       ,Respondent id number,Respondents sex,"Region of residence, age 16",Total family income,General happiness,Happiness of marriage
1973,398,Female,South atlantic,$5000 to 5999,Not too happy,Pretty happy
1973,399,Female,E. sou. central,$25000 or more,Very happy,Very happy
1973,400,Male,E. nor. central,$25000 or more,Very happy,Very happy
1973,401,Male,New england,$10000 - 14999,Pretty happy,Very happy
1973,402,Female,New england,$7000 to 7999,Pretty happy,Not applicable
1973,403,Female,New england,$10000 - 14999,Pretty happy,Very happy
1973,404,Male,South atlantic,$20000 - 24999,Pretty happy,Pretty happy
1973,405,Male,Middle atlantic,$7000 to 7999,Very happy,Very happy
1973,406,Male,South atlantic,$4000 to 4999,Very happy,Very happy
1973,407,Female,South atlantic,$8000 to 9999,Pretty happy,Not applicable
1973,408,Female,South atlantic,$20000 - 24999,Not too happy,Pretty happy
1973,409,Female,South atlantic,$8000 to 9999,Pretty happy,Very happy
1973,410,Male,South atlantic,$4000 to 4999,Not too happy,Very happy
1973,411,Female,South atlantic,$10000 - 14999,Very happy,Very happy
1973,412,Female,South atlantic,$8000 to 9999,Pretty happy,Pretty happy
1973,413,Male,Foreign,$3000 to 3999,Not too happy,Not applicable
1973,414,Female,South atlantic,$10000 - 14999,Very happy,Very happy
1973,415,Female,E. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1973,416,Male,E. nor. central,$7000 to 7999,Pretty happy,Very happy
1973,417,Female,E. nor. central,Lt $1000,Not too happy,Not applicable
1973,418,Male,E. nor. central,$8000 to 9999,Pretty happy,Pretty happy
1973,419,Male,Middle atlantic,$25000 or more,Not too happy,Pretty happy
1973,420,Male,Foreign,$8000 to 9999,Not too happy,Pretty happy
1973,421,Female,South atlantic,$5000 to 5999,Not too happy,Not applicable
1973,422,Female,South atlantic,Don't know,Pretty happy,Pretty happy
1973,423,Female,South atlantic,$1000 to 2999,Pretty happy,Pretty happy
1973,424,Female,W. nor. central,Lt $1000,Pretty happy,Not applicable
1973,425,Male,W. nor. central,$10000 - 14999,Pretty happy,Not applicable
1973,426,Male,W. nor. central,$1000 to 2999,Pretty happy,Pretty happy
1973,427,Female,W. nor. central,$5000 to 5999,Very happy,Not applicable
1973,428,Female,Middle atlantic,$7000 to 7999,Very happy,Very happy
1973,429,Male,E. nor. central,$7000 to 7999,Very happy,Very happy
1973,430,Female,E. nor. central,Refused,Pretty happy,Pretty happy
1973,431,Female,E. nor. central,$20000 - 24999,Pretty happy,Not applicable
1973,432,Male,E. nor. central,$25000 or more,Very happy,Pretty happy
1973,433,Male,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,434,Female,W. nor. central,Don't know,Pretty happy,Not applicable
1973,435,Male,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1973,436,Female,W. nor. central,$25000 or more,Pretty happy,Very happy
1973,437,Male,W. nor. central,$20000 - 24999,Very happy,Very happy
1973,438,Male,W. nor. central,$10000 - 14999,Very happy,Very happy
1973,439,Male,W. nor. central,$20000 - 24999,Very happy,Very happy
1973,440,Female,W. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,441,Male,W. nor. central,$15000 - 19999,Very happy,Very happy
1973,442,Female,W. nor. central,$8000 to 9999,Pretty happy,Very happy
1973,443,Female,W. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,444,Female,W. nor. central,$15000 - 19999,Very happy,Very happy
1973,445,Female,W. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1973,446,Male,W. nor. central,$4000 to 4999,Very happy,Very happy
1973,447,Male,Mountain,$15000 - 19999,Pretty happy,Pretty happy
1973,448,Female,W. nor. central,$4000 to 4999,Very happy,Pretty happy
1973,449,Male,W. sou. central,$5000 to 5999,Pretty happy,Very happy
1973,450,Male,New england,$3000 to 3999,Very happy,Very happy
1973,451,Female,Foreign,$8000 to 9999,Pretty happy,Very happy
1973,452,Female,W. sou. central,$6000 to 6999,Pretty happy,Not applicable
1973,453,Female,W. sou. central,$10000 - 14999,Pretty happy,Not applicable
1973,454,Female,South atlantic,Lt $1000,Not too happy,Not applicable
1973,455,Female,E. sou. central,$1000 to 2999,Not too happy,Not too happy
1973,456,Male,E. nor. central,$25000 or more,Not too happy,Not applicable
1973,457,Male,W. sou. central,$1000 to 2999,Pretty happy,Pretty happy
1973,458,Male,W. sou. central,$8000 to 9999,Pretty happy,Pretty happy
1973,459,Male,W. sou. central,$10000 - 14999,Very happy,Very happy
1973,460,Female,E. sou. central,$20000 - 24999,Pretty happy,Pretty happy
1973,461,Female,W. sou. central,$15000 - 19999,Pretty happy,Very happy
1973,462,Female,Foreign,$15000 - 19999,Very happy,Very happy
1973,463,Male,W. sou. central,$20000 - 24999,Very happy,Not applicable
1973,464,Male,South atlantic,$6000 to 6999,Pretty happy,Not applicable
1973,465,Male,Pacific,$4000 to 4999,Pretty happy,Not applicable
1973,466,Male,Pacific,$8000 to 9999,Not too happy,Not applicable
1973,467,Female,Foreign,$10000 - 14999,Pretty happy,Very happy
1973,468,Female,Pacific,$7000 to 7999,Pretty happy,Pretty happy
1973,469,Male,W. nor. central,$15000 - 19999,Very happy,Very happy
1973,470,Male,W. nor. central,$20000 - 24999,Very happy,Pretty happy
1973,471,Female,W. nor. central,$5000 to 5999,Very happy,Very happy
1973,472,Male,W. nor. central,$10000 - 14999,Pretty happy,Not applicable
1973,473,Female,W. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,474,Female,W. nor. central,$10000 - 14999,Very happy,Very happy
1973,475,Male,W. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,476,Male,W. nor. central,$20000 - 24999,Pretty happy,Not applicable
1973,477,Female,W. nor. central,$20000 - 24999,Pretty happy,Not applicable
1973,478,Female,W. nor. central,$4000 to 4999,Pretty happy,Not applicable
1973,479,Male,Pacific,$15000 - 19999,Pretty happy,Very happy
1973,480,Female,E. nor. central,$1000 to 2999,Not too happy,Not applicable
1973,481,Female,South atlantic,$25000 or more,Very happy,Very happy
1973,482,Female,Pacific,$20000 - 24999,Not too happy,Very happy
1973,483,Male,E. sou. central,$15000 - 19999,Pretty happy,Very happy
1973,484,Male,Mountain,$15000 - 19999,Very happy,Very happy
1973,485,Female,Mountain,$4000 to 4999,Pretty happy,Very happy
1973,486,Female,W. nor. central,$15000 - 19999,Very happy,Very happy
1973,487,Female,Mountain,$6000 to 6999,Pretty happy,Pretty happy
1973,488,Male,Mountain,Lt $1000,Not too happy,Not applicable
1973,489,Male,W. sou. central,$10000 - 14999,Not too happy,Not applicable
1973,490,Male,W. sou. central,$7000 to 7999,Pretty happy,Very happy
1973,491,Female,W. sou. central,Lt $1000,Pretty happy,Not applicable
1973,492,Female,W. sou. central,Lt $1000,No answer,Not applicable
1973,493,Male,E. sou. central,$8000 to 9999,Pretty happy,Pretty happy
1973,494,Male,New england,$6000 to 6999,Pretty happy,Very happy
1973,495,Female,W. nor. central,$7000 to 7999,Very happy,Not applicable
1973,496,Male,W. sou. central,Lt $1000,Not too happy,Not too happy
1973,497,Female,W. sou. central,$6000 to 6999,Pretty happy,Very happy
1973,498,Female,W. nor. central,$10000 - 14999,Very happy,Very happy
1973,499,Male,Middle atlantic,$8000 to 9999,Pretty happy,Very happy
1973,500,Female,Middle atlantic,Don't know,Pretty happy,Not applicable
1973,501,Female,Middle atlantic,$7000 to 7999,Pretty happy,Pretty happy
1973,502,Male,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1973,503,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,504,Male,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1973,505,Female,Middle atlantic,$25000 or more,Very happy,Very happy
1973,506,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,507,Male,Middle atlantic,$15000 - 19999,Very happy,Very happy
1973,508,Male,Middle atlantic,$8000 to 9999,Pretty happy,Not too happy
1973,509,Male,Middle atlantic,$20000 - 24999,Pretty happy,Pretty happy
1973,510,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1973,511,Male,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1973,512,Female,Middle atlantic,$1000 to 2999,Pretty happy,Not applicable
1973,513,Female,Middle atlantic,$10000 - 14999,Pretty happy,Very happy
1973,514,Female,W. sou. central,$8000 to 9999,Very happy,Pretty happy
1973,515,Male,W. sou. central,$10000 - 14999,Pretty happy,Very happy
1973,516,Female,E. sou. central,$10000 - 14999,Pretty happy,Very happy
1973,517,Male,W. sou. central,$1000 to 2999,Not too happy,Very happy
1973,518,Female,W. sou. central,$15000 - 19999,Pretty happy,Not applicable
1973,519,Female,W. sou. central,Don't know,Pretty happy,Not applicable
1973,520,Female,W. sou. central,$6000 to 6999,Very happy,Not applicable
1973,521,Female,W. sou. central,$10000 - 14999,Very happy,Very happy
1973,522,Male,Middle atlantic,Refused,Pretty happy,Pretty happy
1973,523,Male,W. sou. central,$15000 - 19999,Pretty happy,Not applicable
1973,524,Male,W. sou. central,$10000 - 14999,Very happy,Very happy
1973,525,Male,W. sou. central,$8000 to 9999,Very happy,Very happy
1973,526,Female,South atlantic,$15000 - 19999,Not too happy,Very happy
1973,527,Female,E. sou. central,$10000 - 14999,Very happy,Very happy
1973,528,Female,Mountain,$10000 - 14999,Pretty happy,Pretty happy
1973,529,Male,E. nor. central,$5000 to 5999,Pretty happy,Very happy
1973,530,Male,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,531,Male,E. nor. central,$10000 - 14999,Very happy,Very happy
1973,532,Female,E. nor. central,Lt $1000,Very happy,Not applicable
1973,533,Female,E. nor. central,$10000 - 14999,Pretty happy,Not applicable
1973,534,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1973,535,Male,E. nor. central,$20000 - 24999,Pretty happy,Very happy
1973,536,Female,W. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1973,537,Male,E. sou. central,$4000 to 4999,Pretty happy,Pretty happy
1973,538,Female,E. nor. central,$7000 to 7999,Pretty happy,Pretty happy
1973,539,Female,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1973,540,Male,E. nor. central,$20000 - 24999,Very happy,Very happy
1973,541,Male,E. nor. central,$8000 to 9999,Very happy,Very happy
1973,542,Female,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1973,543,Female,E. nor. central,$25000 or more,Very happy,Very happy
1973,544,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1973,545,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1973,546,Female,E. nor. central,$5000 to 5999,Pretty happy,Very happy
1973,547,Male,E. nor. central,$10000 - 14999,Not too happy,Not applicable
1973,548,Female,E. nor. central,$3000 to 3999,Pretty happy,Not applicable
1973,549,Male,Foreign,$7000 to 7999,Pretty happy,Very happy
1973,550,Female,E. nor. central,$10000 - 14999,Very happy,Very happy
1973,551,Female,E. nor. central,$8000 to 9999,Very happy,Very happy
1973,552,Female,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,553,Male,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1973,554,Female,W. nor. central,$20000 - 24999,Pretty happy,Very happy
1973,555,Female,Foreign,$7000 to 7999,Pretty happy,Not applicable
1973,556,Male,W. nor. central,$10000 - 14999,Very happy,Very happy
1973,557,Male,W. nor. central,$10000 - 14999,Very happy,Pretty happy
1973,558,Male,W. nor. central,$7000 to 7999,Very happy,Very happy
1973,559,Female,New england,$1000 to 2999,Pretty happy,Very happy
1973,560,Male,E. nor. central,$10000 - 14999,Very happy,Very happy
1973,561,Female,E. sou. central,$1000 to 2999,Not too happy,Not applicable
1973,562,Male,South atlantic,$1000 to 2999,Pretty happy,Not applicable
1973,563,Female,South atlantic,$8000 to 9999,Pretty happy,Very happy
1973,564,Male,Pacific,Don't know,Pretty happy,Not applicable
1973,565,Female,Pacific,$20000 - 24999,Pretty happy,Very happy
1973,566,Male,Pacific,$25000 or more,Pretty happy,Very happy
1973,567,Female,E. nor. central,Don't know,Not too happy,Very happy
1973,568,Male,Middle atlantic,$1000 to 2999,Pretty happy,Not applicable
1973,569,Female,W. sou. central,$7000 to 7999,Very happy,Not applicable
1973,570,Male,W. sou. central,$5000 to 5999,Pretty happy,Not applicable
1973,571,Male,E. sou. central,$10000 - 14999,Very happy,Very happy
1973,572,Female,E. sou. central,Lt $1000,Not too happy,Not too happy
1973,573,Male,E. sou. central,$8000 to 9999,Very happy,Not applicable
1973,574,Female,E. sou. central,Lt $1000,Pretty happy,Not applicable
1973,575,Male,E. sou. central,Lt $1000,Pretty happy,Very happy
1973,576,Male,W. sou. central,$8000 to 9999,Very happy,Very happy
1973,577,Female,E. sou. central,$7000 to 7999,Very happy,Very happy
1973,578,Female,W. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1973,579,Female,Foreign,$10000 - 14999,Pretty happy,Very happy
1973,580,Male,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1973,581,Male,W. sou. central,$20000 - 24999,Pretty happy,Pretty happy
1973,582,Female,Pacific,$25000 or more,Very happy,Very happy
1973,583,Male,Pacific,$25000 or more,Pretty happy,Very happy
1973,584,Female,W. nor. central,$25000 or more,Very happy,Not applicable
1973,585,Female,W. sou. central,$25000 or more,Pretty happy,Pretty happy
1973,586,Female,E. nor. central,$7000 to 7999,Pretty happy,Very happy
1973,587,Female,E. nor. central,$1000 to 2999,Pretty happy,Very happy
1973,588,Female,South atlantic,$15000 - 19999,Very happy,Pretty happy
1973,589,Male,W. sou. central,$5000 to 5999,Pretty happy,Very happy
1973,590,Male,W. sou. central,No answer,Very happy,Not applicable
1973,591,Male,W. sou. central,$15000 - 19999,Not too happy,Not applicable
1973,592,Female,W. sou. central,$25000 or more,Very happy,Very happy
1973,593,Male,South atlantic,$15000 - 19999,Pretty happy,Pretty happy
1973,594,Female,W. sou. central,$8000 to 9999,Very happy,Very happy
1973,595,Female,W. sou. central,$10000 - 14999,Pretty happy,Very happy
1973,596,Female,W. sou. central,$7000 to 7999,Very happy,Very happy
1973,597,Male,Mountain,$8000 to 9999,Very happy,Very happy
1973,598,Female,W. sou. central,$10000 - 14999,Pretty happy,Pretty happy
1973,599,Male,W. sou. central,$10000 - 14999,Pretty happy,Pretty happy
1973,600,Female,W. sou. central,$20000 - 24999,Very happy,Very happy
1973,601,Female,Middle atlantic,Lt $1000,Pretty happy,Very happy
1973,602,Female,W. sou. central,Don't know,Not too happy,Very happy
1973,603,Female,W. sou. central,$25000 or more,Very happy,Very happy
1973,604,Male,W. sou. central,$8000 to 9999,Not too happy,Not applicable
1973,605,Male,W. sou. central,$10000 - 14999,Pretty happy,Very happy
1973,606,Male,Mountain,$8000 to 9999,Not too happy,Not applicable
1973,607,Female,W. sou. central,$1000 to 2999,Very happy,Not applicable
1973,608,Male,Pacific,$8000 to 9999,Pretty happy,Very happy
1973,609,Female,E. nor. central,$3000 to 3999,Very happy,Very happy
1973,610,Female,E. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1973,611,Female,W. nor. central,$20000 - 24999,Pretty happy,Not applicable
1973,612,Female,W. nor. central,$20000 - 24999,Very happy,Very happy
1973,613,Female,W. nor. central,$10000 - 14999,Very happy,Very happy
1973,614,Male,E. nor. central,$8000 to 9999,Very happy,Very happy
1973,615,Male,W. nor. central,$3000 to 3999,Very happy,Very happy
1973,616,Male,E. sou. central,$10000 - 14999,Pretty happy,Very happy
1973,617,Female,E. sou. central,Refused,Very happy,Not applicable
1973,618,Female,W. sou. central,Refused,Very happy,Very happy
1973,619,Male,E. sou. central,$1000 to 2999,Very happy,Not applicable
1973,620,Female,E. sou. central,$7000 to 7999,Pretty happy,Not applicable
1973,621,Female,E. sou. central,$4000 to 4999,Very happy,Very happy
1973,622,Male,E. sou. central,$10000 - 14999,Pretty happy,Very happy
1973,623,Female,E. sou. central,$8000 to 9999,Pretty happy,Very happy
1973,624,Male,South atlantic,$10000 - 14999,Pretty happy,Very happy
1973,625,Male,E. sou. central,$4000 to 4999,Very happy,Very happy
1973,626,Female,E. nor. central,$5000 to 5999,Not too happy,Not applicable
1973,627,Female,E. nor. central,$1000 to 2999,Pretty happy,Pretty happy
1973,628,Female,E. nor. central,$25000 or more,Very happy,Very happy
1973,629,Male,E. nor. central,$7000 to 7999,Pretty happy,Pretty happy
1973,630,Male,E. nor. central,$8000 to 9999,Pretty happy,Very happy
1973,631,Female,Middle atlantic,$3000 to 3999,Very happy,Very happy
1973,632,Female,Foreign,$15000 - 19999,Pretty happy,Very happy
1973,633,Male,Middle atlantic,No answer,Pretty happy,Not applicable
1973,634,Male,Middle atlantic,No answer,Pretty happy,Not applicable
1973,635,Male,Foreign,$3000 to 3999,Very happy,Very happy
1973,636,Female,South atlantic,$15000 - 19999,Pretty happy,Pretty happy
1973,637,Female,Pacific,$20000 - 24999,Very happy,Very happy
1973,638,Male,E. nor. central,$15000 - 19999,Not too happy,Very happy
1973,639,Male,Foreign,$10000 - 14999,Pretty happy,Pretty happy
1973,640,Male,South atlantic,$15000 - 19999,Very happy,Very happy
1973,641,Male,Middle atlantic,$7000 to 7999,Very happy,Very happy
1973,642,Male,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1973,643,Female,Foreign,$3000 to 3999,Pretty happy,Not applicable
